template	input_index	npts_declared	analysis_type	cope	source_path
templates/L3_template_n47_ultimatum_onegroup.fsf	34	47	REPLACEME	COPENUM	/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_REPLACEME_sm-6.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz
templates/L3_template_n47_ultimatum_twogroup.fsf	34	47	REPLACEME	COPENUM	/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_REPLACEME_sm-6.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz
templates/L3_template_n47_ultimatum_twogroup_wCovs.fsf	34	47	REPLACEME	COPENUM	/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_REPLACEME_sm-6.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz
legacy/jen_working_tree/templates/L3_task-ultimatum_type-act_InOut_age_main.fsf	34	94	type-act	4	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_type-act_sm-6.gfeat/cope4.feat/stats/cope1.nii.gz
legacy/jen_working_tree/templates/L3_task-ultimatum_type-act_InOut_age_main.fsf	81	94	type-act	6	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_type-act_sm-6.gfeat/cope6.feat/stats/cope1.nii.gz
legacy/jen_working_tree/templates/L3_task-ultimatum_type-act_InOut_age_sens.fsf	34	94	type-act	4	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_type-act_sm-6.gfeat/cope4.feat/stats/cope1.nii.gz
legacy/jen_working_tree/templates/L3_task-ultimatum_type-act_InOut_age_sens.fsf	81	94	type-act	6	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_type-act_sm-6.gfeat/cope6.feat/stats/cope1.nii.gz
legacy/jen_working_tree/templates/L3_task-ultimatum_type-nppi-dmn_InOut_age_main.fsf	34	94	type-nppi-dmn	4	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_type-nppi-dmn_sm-6.gfeat/cope4.feat/stats/cope1.nii.gz
legacy/jen_working_tree/templates/L3_task-ultimatum_type-nppi-dmn_InOut_age_main.fsf	81	94	type-nppi-dmn	6	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_type-nppi-dmn_sm-6.gfeat/cope6.feat/stats/cope1.nii.gz
legacy/jen_working_tree/templates/L3_task-ultimatum_type-nppi-dmn_InOut_age_sens.fsf	34	94	type-nppi-dmn	4	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_type-nppi-dmn_sm-6.gfeat/cope4.feat/stats/cope1.nii.gz
legacy/jen_working_tree/templates/L3_task-ultimatum_type-nppi-dmn_InOut_age_sens.fsf	81	94	type-nppi-dmn	6	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_type-nppi-dmn_sm-6.gfeat/cope6.feat/stats/cope1.nii.gz
