template_id	ev_index	ev_title	minimum	maximum	mean	sd	design_variance_factor
submitted_dmn_age	1	younger	0	1	0.531914893617021	0.504374939460682	1.57728983396018
submitted_dmn_age	2	older	0	1	0.468085106382979	0.504374939460682	1.65650536527074
submitted_dmn_age	3	ismale	-0.426	0.574	-0.000468085106383013	0.499768679145611	1.25506293719966
submitted_dmn_age	4	tsnr	-2.083135952	1.815070021	1.41730598888318e-17	1.01081112497014	3.05650188670119
submitted_dmn_age	5	fd_mean	-1.276550122	3.030139128	-4.25531713884621e-11	1.01081112498534	4.55203961927577
submitted_dmn_age	6	RT	-1.27	1.67	-5.1702127659573e-05	0.999579323986104	1.41224836847829
later_ecn_sensitivity_reconstruction	1	ismale	-0.426	0.574	-0.000468085106383013	0.499768679145611	1.44609251039379
later_ecn_sensitivity_reconstruction	2	tsnr	-2.070394775	1.822941324	9.44870659255452e-18	1.01081112499571	3.16732667984013
later_ecn_sensitivity_reconstruction	3	fd_mean	-1.292912535	2.956665728	-4.25531950102286e-11	1.01081112494264	4.62197962818444
later_ecn_sensitivity_reconstruction	4	RT	-1.27	1.67	-5.1702127659573e-05	0.999579323986104	1.45430962739632
later_ecn_sensitivity_reconstruction	5	young	0	1	0.531914893617021	0.504374939460682	1.59526692514154
later_ecn_sensitivity_reconstruction	6	old	0	1	0.468085106382979	0.504374939460682	1.66369772702974
later_ecn_sensitivity_reconstruction	7	Y_InOut	-1.05542172506223	0.749011112381742	-0.0154500920211359	0.335476751525294	1.16345091902223
later_ecn_sensitivity_reconstruction	8	O_InOut	-1.40323510596552	1.55560797256221	0.015450092021136	0.418000412570961	1.047658345947
